event_date,year,cartel_a,cartel_b,fatalities,admin1,location,latitude,longitude,notes
2018-01-12,2018,CJNG,Huachicoleros,4,Veracruz de Ignacio de la Llave,Sayula de Aleman,17.881,-94.9601,"Around 12 January 2018 (as reported), in Sayula de Aleman municipality, Veracruz, the heads of four dead men were found on the hood of a car, and their torsos inside the trunk of an abandoned car in San Isidro community. A narco message was left making reference to the Jalisco New Generation Cartel, and accusing the dead men of being oil thieves and killers. 4 fatalities."
2018-02-10,2018,CJNG,Gulf Cartel (Golfo),6,Jalisco,Chimaltitan,21.7786,-103.7806,"On 10 February 2018, in Chimaltitan city, Jalisco, six members of a criminal gang, suspected New Generation Jalisco Cartel (CJNG), were killed in an ambush by another criminal gang, suspected Gulf Cartel members (Cartel del Golfo), and one was left wounded."
2018-02-12,2018,Los Chulos,Los Pitos,0,Yucatan,Ticul,20.3973,-89.536,"On 12 February 2018, in Barrio San Enrique, Ticul, Yucatan, an armed clash between Los Chulos and Los Pitos took place in the street. No injuries or fatalities reported."
2018-02-17,2018,Los Chulos,Los Pitos,0,Yucatan,Tzucacab,20.0719,-89.0503,"On 17 February 2018, in Tzucacab, Yucatan, there was a clash between the Chulos and Pitos gangs. According to reports, the two bands were fighting in the street, and the Police arrived to disperse the gangsters. No fatalities or injuries reported. 3 men were arrested."
2018-03-11,2018,CJNG,La Familia Michoacana,1,Michoacan de Ocampo,Villamar,20.0196,-102.5961,"Around 11 March 2018 (as reported), in Villamar, Michoacan, the leader of the CJNG was killed by members of the Nueva Familia Michoacana. His body was found dismembered in Colonia La Enramada. The victim was a former member of the Nueva Familia Michoacana and later joined the CJNG Cartel. 1 fatality."
2018-05-08,2018,Los Escorpiones,Los Metros,1,Tamaulipas,Reynosa,26.0924,-98.2781,"On 8 May 2018, in Reynosa, Tamaulipas, an armed clash between Los Metros and Los Escorpiones erupted during early morning hours close to El Campanario neighborhood. Reports informed of one man killed and one injured. Motives of the clash remain unclear."
2018-05-09,2018,Los Escorpiones,Los Metros,0,Tamaulipas,Reynosa,26.0924,-98.2781,"On 9 May 2018, a raid on the Reynosa border of an armed convoy of the organised crime group Los Escorpiones triggered an armed clash with a cell of Los Metros Gang in Reynosa. 1 casualty reported."
2018-05-28,2018,Los Escorpiones,Los Metros,0,Tamaulipas,Nuevo Progreso,26.0536,-97.9517,"On 28 May 2018, in Nuevo Progreso, Tamaulipas, close to the toll booth there was an armed clash between Los Escorpiones Gang and Los Metros Gang. Later in the afternoon, there was a convoy of at least 30 trucks and cars with the sign of the branch of Los Metros Gang known as M31 with unidentified objects burning. Neither fatalities nor injuries reported."
2018-08-20,2018,Cartel del Noreste,Los Metros,3,Tamaulipas,Los Guerra,26.3914,-99.0793,"On 20 August 2018, in Los Guerra, Tamaulipas, an armed clash was reported between members of the North-East Cartel and members of the Los Metros Gang cartel who are part of the Gulf Cartel. The number of fatalities is unknown but reportedly, members of both gangs were killed in the clash. Unknown fatalities coded as 3."
2018-09-14,2018,Fuerza Anti Union,La Union Tepito,6,Ciudad de Mexico,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,"On 14 September 2018, in the Cuauhtemoc area of Ciudad de Mexico, Distrito Federal, three armed people dressed as Mariachi entered a building and opened fire against members of the Fuerza Anti Union. Three people died immediately and three died in the hospital. Other people resulted wounded as the perpetrators fled the scene. 6 fatalities."
